dataset,hparam,best_value_label,default_value,best_value_by_auc,default_auc,best_auc,auc_gain_vs_default,default_acc,best_acc,acc_gain_vs_default,default_rmse,best_rmse,rmse_delta_vs_default
assist_09,dropout,0.2,0.3,0.2,0.7894415590488214,0.7922332598320578,0.0027917007832364282,0.7471122190717235,0.7478163238120611,0.0007041047403375522,0.4544270979071526,0.4599723247568251,0.005545226849672513
assist_09,embedding_dim,384,256.0,384.0,0.789123883880614,0.7903405170521646,0.0012166331715505185,0.7486726674151744,0.7470360996403357,-0.0016365677748386709,0.4538414979534856,0.4562847039336467,0.0024432059801610673
assist_09,ortho_weight,0.3,0.5,0.3,0.7886691975911383,0.7893052640907428,0.0006360664996044596,0.7483301299739291,0.7486536375573275,0.0003235075833983858,0.4540846790743693,0.4536883206915142,-0.0003963583828550665
assist_17,dropout,0.3,0.3,0.3,0.8005094908342454,0.8005094908342454,0.0,0.7287616339193381,0.7287616339193381,0.0,0.4247255624327634,0.4247255624327634,0.0
assist_17,embedding_dim,256,256.0,256.0,0.8006112692848952,0.8006112692848952,0.0,0.728852119958635,0.728852119958635,0.0,0.4247726779146628,0.4247726779146628,0.0
assist_17,ortho_weight,1,0.5,1.0,0.8007607095777303,0.800817761744132,5.705216640172761e-05,0.7296147880041365,0.7295113753877973,-0.00010341261633917131,0.4247160720476932,0.4246759504610203,-4.0121586672881016e-05
junyi,dropout,0.2,0.3,0.2,0.8125079637076287,0.814287501909172,0.001779538201543307,0.7708891632290507,0.7745927554123634,0.0037035921833127317,0.3983132598752384,0.3965764807843663,-0.0017367790908721092
junyi,embedding_dim,384,256.0,384.0,0.8136875612294885,0.8141395219516585,0.0004519607221700195,0.7707386107012737,0.7729366776068171,0.002198066905543361,0.3988927409614907,0.3972971623298493,-0.0015955786316413922
junyi,ortho_weight,0.7,0.5,0.7,0.8135643651730909,0.8136858564057634,0.00012149123267246598,0.7706181686790521,0.7696245219957243,-0.000993646683327798,0.3988287071051912,0.3988733338859475,4.462678075628501e-05
