,t=-6.187,t=-5.763,t=-5.338,t=-4.914,t=-4.490,t=-4.065,t=-3.641,t=-3.217,t=-2.792,t=-2.368,t=-1.944,t=-1.519,t=-1.095,t=-0.670,t=-0.246,t=+0.178,t=+0.603,t=+1.027,t=+1.451,t=+1.876,t=+2.300
B:4884,0.0037794276,0.003710047,0.0036493663,0.0035896758,0.0035309617,0.0034755527,0.0034244775,0.0033741517,0.0033245604,0.003275698,0.0032154464,0.0031554967,0.003089977,0.0030247415,0.002968408,0.0029129593,0.0028577745,0.0028105273,0.002765057,0.0027208882,0.0026786535
C:14249,0.9994549,0.9994419,0.9994293,0.999416,0.9994025,0.9993901,0.99937755,0.9993623,0.999345,0.9993273,0.9993044,0.9992772,0.9992488,0.99922025,0.999193,0.9991648,0.9991366,0.99911064,0.9990839,0.9990563,0.99902797
C:16698,0.9982293,0.998086,0.9979309,0.9977695,0.9975988,0.9974165,0.9972205,0.9970099,0.9967885,0.9965508,0.996298,0.9960098,0.9956939,0.9953465,0.99496835,0.9945721,0.9941607,0.99371827,0.99324256,0.99273115,0.992183
C:9785,0.9874977,0.9873247,0.98715335,0.98699796,0.9869016,0.98681855,0.9867247,0.98661625,0.9864943,0.9863599,0.9862141,0.98605794,0.98590106,0.98575944,0.98556256,0.98529124,0.9848876,0.98449844,0.9839729,0.9833241,0.98265266
C:1902,0.34483367,0.33229923,0.32002833,0.3080018,0.296972,0.28713107,0.27753899,0.26841643,0.2594863,0.25075144,0.24221437,0.23452063,0.2272136,0.21986678,0.21223317,0.20437512,0.19705527,0.19119833,0.18556666,0.17959397,0.17381108
C:11943,0.99831855,0.99819666,0.99804974,0.99788946,0.99771607,0.9975284,0.9973253,0.99710566,0.99687934,0.99664474,0.99639255,0.99611855,0.9958197,0.99550194,0.99516135,0.99478936,0.99438983,0.9939721,0.9935307,0.9930609,0.9925569
C:17334,0.9981292,0.9980617,0.99799085,0.9979183,0.99784505,0.99776363,0.99767643,0.9975835,0.9974891,0.997391,0.99728847,0.997171,0.9970444,0.9969118,0.9967733,0.99662966,0.9964844,0.9963302,0.99616927,0.9960013,0.9958105
C:5837,0.5297857,0.51842344,0.5070422,0.49565372,0.48444405,0.47367772,0.462931,0.4522106,0.44205472,0.43244,0.42288634,0.41339007,0.40395784,0.39574605,0.38784334,0.37998506,0.37215465,0.36439058,0.3566966,0.34907588,0.34153152
C:9368,0.9999825,0.99998164,0.9999808,0.9999801,0.99997926,0.9999784,0.9999776,0.99997675,0.9999758,0.9999745,0.99997294,0.9999713,0.9999695,0.99996746,0.9999654,0.99996316,0.99996054,0.9999578,0.99995506,0.9999521,0.99994886
C:16798,0.005071799,0.004959981,0.0048506088,0.0047436464,0.0046390267,0.004536704,0.0044366266,0.004338747,0.0042430195,0.0041493988,0.004057832,0.0039630816,0.0038697438,0.0037785964,0.0036895825,0.003602665,0.003524455,0.0034486286,0.0033744308,0.0033018228,0.003230775
C:7395,0.99999285,0.9999925,0.999992,0.99999166,0.9999912,0.9999908,0.99999034,0.99998987,0.9999894,0.9999889,0.9999883,0.99998784,0.99998724,0.99998665,0.99998593,0.99998534,0.9999846,0.9999838,0.9999831,0.99998224,0.9999814
C:9099,0.13683167,0.13328034,0.12980728,0.12641163,0.12309224,0.11984797,0.11719166,0.114680804,0.112577654,0.110781774,0.10901099,0.10726512,0.10575099,0.10432617,0.102918394,0.10152738,0.1001459,0.098131366,0.09615311,0.094210535,0.09244524
C:6840,0.9988619,0.99878484,0.9986975,0.9986041,0.9985038,0.99839634,0.9982729,0.9981375,0.99799335,0.99784696,0.99768984,0.9975314,0.99736637,0.9971903,0.99700254,0.9968022,0.9965886,0.99636286,0.9961313,0.99588877,0.9956381
